id,username,created_at,lng,lat,text
1514355920217718791,Joseph0622,Wed Apr 13 21:32:41 +0000 2022,-95.767395,29.532056,Gorgeous
1514355917281800204,kurma2011,Wed Apr 13 21:32:40 +0000 2022,-80.7644,35.18577,Just posted a photo @ La Noticia https://t.co/DrZJmtnIoO
1514355903667097600,dezzzj_,Wed Apr 13 21:32:37 +0000 2022,-84.433106,33.7671945,@briEasyyy ALWAYS
1514355866119675907,DrBaudy,Wed Apr 13 21:32:28 +0000 2022,-84.4703885,33.631277499999996,@visionary2030_ Damn near everyday... Consistency and time fixed it... didn't get better until the end of residency
1514355546962501647,tashazzey,Wed Apr 13 21:31:12 +0000 2022,-97.9351915,29.8956065,Way to Go Chyann 💜
1514355692198457344,Al_Bondegas,Wed Apr 13 21:31:47 +0000 2022,-119.7824645,36.786041999999995,Time to fuck this show in the face.
1514355914500882450,CamiDRyan,Wed Apr 13 21:32:40 +0000 2022,-90.64984949999999,38.500901999999996,"Public private partnerships: “If [academia] didn’t work with industry, developing and nurturing solid relationships… https://t.co/kyHnlr4jqo"
1514355923954941960,bassmaniacriley,Wed Apr 13 21:32:42 +0000 2022,-81.5903435,28.546118999999997,Better than ANYTHING yellow.
1514355752948838400,Gavrinho_,Wed Apr 13 21:32:01 +0000 2022,-111.928142,33.392883999999995,"MOTM in the Liverpool game, interesting 🌚"
1514355808670261255,BeerExpressPGH,Wed Apr 13 21:32:14 +0000 2022,-80.09294057,40.44075618,NEW@rustyrailbrewing Planet of IceCold IPA @ Beer Express https://t.co/5joRaBkQFc
1514355031197327361,JWPeep,Wed Apr 13 21:29:09 +0000 2022,-78.878866,33.7033905,Total mind blow.... 🤯
1514355188865253376,vicki_mcleod,Wed Apr 13 21:29:47 +0000 2022,-123.93499800000001,49.1745345,@MetisArtisan Ah. Thank you
1514355911221039112,BlackUniGryphon,Wed Apr 13 21:32:39 +0000 2022,-70.9477915,42.199372999999994,"@jacksonhinklle Jackson, Start talking about building a legal case ON AIR &amp; QWR EVERYTHING including the CUSIP#s, t… https://t.co/Fxdlw5MJLx"
1514355710884077568,queenbeee1721,Wed Apr 13 21:31:51 +0000 2022,-122.149397,47.8627655,Fixed my instagram feed FINALLY omfg I was seeing nobody’s posts.
1514355431048503298,yuud0ne,Wed Apr 13 21:30:44 +0000 2022,-122.2286855,37.791994,@DrewwwBanga Bra they need to close the whole San leandro street 😵‍💫 do that shit over wtf
1514355070770434053,PadresWes,Wed Apr 13 21:29:18 +0000 2022,-116.8710985,33.043951500000006,Luke Williams is a poor man's Travis Jackowski.
1514355021797855234,lemonorzosoup,Wed Apr 13 21:29:07 +0000 2022,-79.9806895,40.431388999999996,At the exchange #theexchange
1514355455304220674,estefevaldez5,Wed Apr 13 21:30:50 +0000 2022,-121.979527,37.5236445,@FiveToolCA @RFelsch @Paly_Baseball Good defensive player as well
1514355032665124866,thaRealNa,Wed Apr 13 21:29:09 +0000 2022,-104.92209349999999,39.713563,I used to say in school I could try to run almost any natural disaster but an earthquake
1514355032325558277,CTDOT_District1,Wed Apr 13 21:29:09 +0000 2022,-72.635863,41.554555,Cleared: Delays - MIDDLETOWN #RT9 North 0.74 miles beyond Exit 12 (BOW LA) at 4/13/2022 5:29:03 PM
1514355770615345158,CD3Gator,Wed Apr 13 21:32:05 +0000 2022,-83.804475,27.698681999999998,@fabreezeyy What happened to Johnny Depp?
1514354985408028678,LedaGunn,Wed Apr 13 21:28:58 +0000 2022,-79.2725695,43.629311,"When you find a sister in someone who's not blood,Keep her. 🙏"
1514354985160835072,CAKalish,Wed Apr 13 21:28:58 +0000 2022,-82.5330735,27.3411215,@kate_badcock Lifting you up.
1514355185975500807,InsiaDahod4,Wed Apr 13 21:29:46 +0000 2022,-71.7136165,42.2878525,@TevinWooten Oh my…
1514355852500615169,Phuckin_Wright,Wed Apr 13 21:32:25 +0000 2022,-117.104989,32.810012,@_RoseVII @_zeusplays_ @Charles_Chums @NeutralGamingx @thicc_stick_boi Nope not u
1514355689661026306,stjezabell,Wed Apr 13 21:31:46 +0000 2022,-73.320828,40.881215,@VoteMarsha @VoteMarsha  Have you noticed lately that nearly all your tweets dramatically &amp; bigly backfire? Tenness… https://t.co/QJE9vcQ0Bu
1514354987920470022,erinvisentin,Wed Apr 13 21:28:59 +0000 2022,-79.087874,43.053899,Such a great live band. @violentfemmes
1514355032665124866,thaRealNa,Wed Apr 13 21:29:09 +0000 2022,-104.92209349999999,39.713563,I used to say in school I could try to run almost any natural disaster but an earthquake
1514355748632993799,MarieHeron16,Wed Apr 13 21:32:00 +0000 2022,-79.267953,43.327593,@SimoneRBrown @Cocoadiva_KRH @PeelSchools Anyone with a Beyonce Album thinks they know what it's like to be black in Peel
1514355032325558277,CTDOT_District1,Wed Apr 13 21:29:09 +0000 2022,-72.635863,41.554555,Cleared: Delays - MIDDLETOWN #RT9 North 0.74 miles beyond Exit 12 (BOW LA) at 4/13/2022 5:29:03 PM
1514355844875374596,alicianeverlan,Wed Apr 13 21:32:23 +0000 2022,-81.560844,28.357315,Unlocking the Magic✨ https://t.co/9iBJYlVCHC ❤️ #HollywoodStudios #DisneyWorld https://t.co/ftfihuKm4z
1514355750281351180,lummesummma,Wed Apr 13 21:32:00 +0000 2022,-100.0768885,31.1688935,"@The__Divya @cakes_pammy Trust me, I can watch for days https://t.co/RM9wK6yZGv"
1514355021797855234,lemonorzosoup,Wed Apr 13 21:29:07 +0000 2022,-79.9806895,40.431388999999996,At the exchange #theexchange
1514355758552567818,sirjayred,Wed Apr 13 21:32:02 +0000 2022,-89.92202900000001,35.1335205,Pat bev won him a ring with this one you can’t tell me different
1514354985160835072,CAKalish,Wed Apr 13 21:28:58 +0000 2022,-82.5330735,27.3411215,@kate_badcock Lifting you up.
1514354985408028678,LedaGunn,Wed Apr 13 21:28:58 +0000 2022,-79.2725695,43.629311,"When you find a sister in someone who's not blood,Keep her. 🙏"
1514355617221206025,JoshuaHowell916,Wed Apr 13 21:31:29 +0000 2022,-96.053431,41.275721000000004,@Bretrindadee Stay strong. Recover soon https://t.co/F5JPBGlgRa
1514355907554992129,SaulAlejandr00,Wed Apr 13 21:32:38 +0000 2022,-122.2286855,37.791994,I loved seeing Wendy Choo get Toxic Attraction yesterday with those super soakers lol 😂 #WWENXT https://t.co/1MpC64wvqS
1514355943596867591,PalmersMonsters,Wed Apr 13 21:32:46 +0000 2022,-83.915617,35.806268,These lil’ monsters had an EGGcellent time at our egg hunt today! #eessoars https://t.co/pa7l8lX7Sm
1514355621428187145,NelsonAbregoVA,Wed Apr 13 21:31:30 +0000 2022,-100.7641485,46.8299035,@LeoJerezVO Might do this for a con I’m going to at the end of this month 👀👀
1514354987920470022,erinvisentin,Wed Apr 13 21:28:59 +0000 2022,-79.087874,43.053899,Such a great live band. @violentfemmes
1514355869307318275,kdander222,Wed Apr 13 21:32:29 +0000 2022,-83.1738665,32.6782075,@KillaWake80 Are you jealous 😏 😜 😋 https://t.co/jBEQyjIBDQ
1514355267802001410,JessicaGottlieb,Wed Apr 13 21:30:05 +0000 2022,-118.4119065,34.0207895,@thrasherxy @itchbay And I remember not knowing how to tell her that she was beautiful and saying nothing. But th… https://t.co/OrSEa3GYNo
1514355792429793280,_Ssslim_,Wed Apr 13 21:32:10 +0000 2022,-118.4119065,34.0207895,@EricjEpps It’s not crowded ?
1514355943739310081,BEH0LDINGEYE,Wed Apr 13 21:32:47 +0000 2022,-105.072231,39.9472495,"As promised in the space yesterday with @hauglandphoto, @AbrahannyR, @Misshattan, @benstraussphoto, and @DubSonata,… https://t.co/98WZEZFv33"
1514355819135082501,AmpBuchanan,Wed Apr 13 21:32:17 +0000 2022,-96.6021425,32.7749375,Amazing
1514355777099624451,maiJjjkk,Wed Apr 13 21:32:07 +0000 2022,-111.73856649999999,33.295215,I couldn’t sleep at night so I magically woke up at Two in the afternoon. I guess I slept longer than I thought.
1514355517262422019,quis__custodiet,Wed Apr 13 21:31:05 +0000 2022,-118.31423,34.09765,2130ZN213PF LAPD AIR SUPPORT DIVISIONN34.0977 W118.3142Altitude: 1725ftCourse: 23ºGroundspeed: 67kts https://t.co/8zvuvIt6lW
1514355833072717839,tk4real,Wed Apr 13 21:32:20 +0000 2022,-89.5694915,44.900818,Bunch of unprofessional idiots. Bleep off!!!
1514355851951288320,RAPGUY59,Wed Apr 13 21:32:25 +0000 2022,-73.7192005,41.0192955,@Zoebabby11 @calymel Sure
1514355765221507073,PhDWilliamsJess,Wed Apr 13 21:32:04 +0000 2022,-79.95791,37.274488500000004,@rachtink2121 did such an amazing job presenting her work today at #ASN2022 on IFN regulation of a novel transcript… https://t.co/HYdwuBd4Mu
1514355881735077895,imjenniferleigh,Wed Apr 13 21:32:32 +0000 2022,-86.1429225,39.7795625,@douglaskarr I appreciate you!
1514355871366750214,ChrisHallWx,Wed Apr 13 21:32:29 +0000 2022,-85.7682405,37.822244,Wall cloud NE of Mayfield 4:30pm @NWSPaducah @cjwxguy56 https://t.co/zX6AmBeYki
1514355902278627329,gonzo6664,Wed Apr 13 21:32:37 +0000 2022,-118.4119065,34.0207895,@ScaryRebelBat Ok but Sean used to beat up Madonna. And he wants to go fight with nazis.
1514355761991794689,Rmplstlskn,Wed Apr 13 21:32:03 +0000 2022,-82.470504,27.284022,@poetkisses Who says stars don't form from the energy of a true love kiss? I believe even big bang possible. Love is everything.
1514355944150417412,1965EPerez,Wed Apr 13 21:32:47 +0000 2022,-85.9785995,35.8305215,First cut of the year 😁👍 #OurTennesseeHome https://t.co/96mNSzXLfm
1514355836851834884,socorro2460,Wed Apr 13 21:32:21 +0000 2022,-98.189648,26.1679045,"Ok I'll bet they were white old guys! Oh but find a Minority who mite have vote by mistake, she goes to jail.  EQU… https://t.co/igaHm9g0vm"
1514355778026573824,MiguelV10855001,Wed Apr 13 21:32:07 +0000 2022,-118.151167,34.002711,On the above like the rim we stay Kobe halo all day str8 runnin like my back str8 wet str8 our soil mexico check.!!
1514355653749268490,tmj_BOS_adm,Wed Apr 13 21:31:37 +0000 2022,-71.2289641,42.4430372,"See our latest #Lexington, MA #IT job opportunity and click the link in our bio to apply: Principal Enterprise Syst… https://t.co/AJXjyOWxde"
1514355756123918337,pdxpolicelog,Wed Apr 13 21:32:02 +0000 2022,-122.671974,45.49013,"THEFT - COLD at 400 S HAMILTON CT, PORT [Portland Police #PP22000097981] 13:52 #pdx911"
1514355948638244867,tmj_IDN_HRTA,Wed Apr 13 21:32:48 +0000 2022,-116.2837606,43.6097548,"Dave &amp; Buster's is hiring in Boise, ID! Read about our latest Store Hourly job opening via the link in our bio: Dis… https://t.co/jwJ5oRnOde"
1514355152542744582,bhhsblake,Wed Apr 13 21:29:38 +0000 2022,-73.72874151,43.17567164,See a virtual tour of our listing on BALLARD RD #Wilton #NY  #realestate https://t.co/GA0oslLDiy https://t.co/NfiuXOtc7b
1514355735173292035,RoyalGuard_SG,Wed Apr 13 21:31:57 +0000 2022,-122.3306025,47.614817,@voght @thrace Already dubbed #ClashOfTheCoolers but we cam workshop this...
1514355823580893191,tmj_atl_util,Wed Apr 13 21:32:18 +0000 2022,-84.1804384,33.9102261,Join the Cintas Corporation team! See our latest job opening here: https://t.co/WapxA9SK1i #cintasjobs
1514355832552628224,ohdatsher_01,Wed Apr 13 21:32:20 +0000 2022,-89.92202900000001,35.1335205,Class cancelled tonight 😮‍💨
1514355818371727365,MrSloaneRanger,Wed Apr 13 21:32:17 +0000 2022,-73.9685415,40.780709,"Well, I did it... 🙃 https://t.co/9ZYmPhwGrw"
1514355723966181377,PaulUCrazy,Wed Apr 13 21:31:54 +0000 2022,-118.4119065,34.0207895,"I don’t know about you, but dating and getting to know someone is soooo fun!!! https://t.co/UP1w8Ei26z"
1514355931034832899,BrianCunigan,Wed Apr 13 21:32:43 +0000 2022,-85.7682405,37.822244,@firsthalfplays Easy 💰
1514355770401472517,BrendanBald,Wed Apr 13 21:32:05 +0000 2022,-86.791549,36.200008,@Adam94233144 @LazyLionsNFT Love it 👑!!!!!
1514355782141231105,bstarr17,Wed Apr 13 21:32:08 +0000 2022,-81.7255035,41.02436,"I just entered to win $2,000 for my mom to help her celebrate Mother's Day! Enter here for your opportunity to win… https://t.co/p82cKMuiC7"
1514355831583690752,AlberthaMarie,Wed Apr 13 21:32:20 +0000 2022,-76.593943,24.074967,@Faleeshaj My keloid back and it’s been almost a year. Smt
1514355873669287939,tmj_lan_transp,Wed Apr 13 21:32:30 +0000 2022,-90.1009108,30.4754702,"Interested in a job in #Covington, LA? This could be a great fit: https://t.co/sbO2ihylt2 #Transportation"
